subject,rule,stimulus,targetHand,error,RT,parity
1,rule2,9,right,0,412,odd
1,rule2,9,right,0,483,odd
1,rule2,9,right,0,502,odd
1,rule2,9,right,0,548,odd
1,rule2,9,right,0,544,odd
1,rule2,9,right,0,551,odd
1,rule2,9,right,1,375,odd
1,rule2,9,right,0,554,odd
1,rule2,9,right,1,455,odd
1,rule2,9,right,0,435,odd
1,rule2,9,right,0,427,odd
1,rule2,9,right,0,417,odd
1,rule2,9,right,1,308,odd
1,rule2,9,right,0,464,odd
1,rule2,8,left,0,429,even
1,rule2,8,left,0,455,even
1,rule2,8,left,0,469,even
1,rule2,8,left,0,415,even
1,rule2,8,left,0,479,even
1,rule2,8,left,0,466,even
1,rule2,8,left,0,408,even
1,rule2,8,left,0,522,even
1,rule2,8,left,0,515,even
1,rule2,8,left,0,628,even
1,rule2,8,left,0,398,even
1,rule2,8,left,0,386,even
1,rule2,8,left,1,276,even
1,rule2,8,left,0,495,even
1,rule2,2,left,0,400,even
1,rule2,2,left,0,466,even
1,rule2,2,left,0,740,even
1,rule2,2,left,0,787,even
1,rule2,2,left,0,480,even
1,rule2,2,left,0,501,even
1,rule2,2,left,0,443,even
1,rule2,2,left,0,469,even
1,rule2,2,left,0,866,even
1,rule2,2,left,0,481,even
1,rule2,2,left,0,342,even
1,rule2,2,left,0,298,even
1,rule2,2,left,0,662,even
1,rule2,2,left,0,477,even
1,rule2,1,right,0,811,odd
1,rule2,1,right,0,389,odd
1,rule2,1,right,0,345,odd
1,rule2,1,right,0,445,odd
1,rule2,1,right,0,540,odd
1,rule2,1,right,0,403,odd
1,rule2,1,right,0,360,odd
1,rule2,1,right,0,454,odd
1,rule2,1,right,0,417,odd
1,rule2,1,right,0,589,odd
1,rule2,1,right,0,401,odd
1,rule2,1,right,0,375,odd
1,rule2,1,right,0,415,odd
1,rule2,1,right,0,381,odd
1,rule1,9,left,1,1523,odd
1,rule1,9,left,0,421,odd
1,rule1,9,left,0,421,odd
1,rule1,9,left,1,363,odd
1,rule1,9,left,1,351,odd
1,rule1,9,left,1,172,odd
1,rule1,9,left,0,408,odd
1,rule1,9,left,1,304,odd
1,rule1,9,left,0,491,odd
1,rule1,9,left,0,471,odd
1,rule1,9,left,0,526,odd
1,rule1,9,left,0,410,odd
1,rule1,9,left,0,428,odd
1,rule1,9,left,0,700,odd
1,rule1,8,right,0,263,even
1,rule1,8,right,0,277,even
1,rule1,8,right,1,413,even
1,rule1,8,right,0,346,even
1,rule1,8,right,0,356,even
1,rule1,8,right,0,371,even
1,rule1,8,right,0,410,even
1,rule1,8,right,1,425,even
1,rule1,8,right,0,385,even
1,rule1,8,right,0,393,even
1,rule1,8,right,0,312,even
1,rule1,8,right,0,338,even
1,rule1,8,right,0,269,even
1,rule1,8,right,0,427,even
